Export Sales Query System,,,,,,,,,,,,,
Export Sales Data by Date/Commodity,,,,,,,,,,,,,
From: 01/01/2017 To: 10/17/2019,,,,,,,,,,,,,
Source: USDA/FAS/Export Sales Reporting,,,,,,,,,,,,,
10/17/2019,,,,,,,CMY,CMY,CMY,CMY,NMY,NMY,
,,,,,Weekly,Accumulated,Outstanding,Gross,Net,Total,Outstanding,Net,
,,,,,,,,,,,,,
Date,,,Commodity,Country,Exports,Exports,Sales,New Sales,Sales,Commitment,Sales,Sales,Unit Desc
,,,,,,,,,,,,,
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,BAHRAIN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,BANGLADESH,"57,065","281,880","118,000","7,065","57,065","399,880",0,0,Metric Tons
01/26/2017,,,Soybeans,BARBADOS,0,"13,303","8,000",0,0,"21,303",0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,BURMA,498,"4,904",958,0,0,"5,862",0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,CAMEROON,0,"8,000",0,0,0,"8,000",0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,CANADA,"2,738","124,903","5,744","2,269","2,269","130,647","1,905","1,905",Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,CHILE,0,"9,983",0,0,0,"9,983",0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,"CHINA, PEOPLES REPUBLIC OF","897,612","28,439,915","4,814,289","286,966","579,870","33,254,204","385,000","121,000",Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,COLOMBIA,0,"176,645","31,740",0,0,"208,385",0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,COSTA RICA,"15,043","117,898","137,985",543,543,"255,883",0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,CUBA,0,"14,400","41,500",0,0,"55,900",0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,DOMINICAN REPUBLIC,0,104,0,0,0,104,0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,EGYPT,0,"177,242","66,000",0,0,"243,242",0,0,Metric Tons
,,,,,,,,,,,,,
01/26/2017,,,Soybeans,EL SALVADOR,0,0,0,0,0,0,0,0,Metric Tons
